prompt,old,new
"Gian Lorenzo Bernini, sculpture","Gian Lorenzo Bernini, sculpture",art
Elsa Beskow,Elsa Beskow,art
James Bidgood,James Bidgood,art
Szymon Biernacki,Szymon Biernacki,art
Albert Bierstadt,Albert Bierstadt,art
John T. Biggers,John T. Biggers,art
Enki Bilal,Enki Bilal,art
Ivan Bilibin,Ivan Bilibin,art
Butcher Billy,Butcher Billy,art
Ed Binkley,Ed Binkley,art
Elmer Bischoff,Elmer Bischoff,art
Simon Bisley,Simon Bisley,art
Robert Bissell,Robert Bissell,art
Mary Blair ,Mary Blair ,art
Antoine Blanchard,Antoine Blanchard,art
John Blanche,John Blanche,art
Tim Blandin,Tim Blandin,art
Neil Blevins,Neil Blevins,art
Umberto Boccioni,Umberto Boccioni,art
Brian Bolland,Brian Bolland,art
Chesley Bonestell,Chesley Bonestell,art
Olivier Bonhomme,Olivier Bonhomme,art
Franklin Booth,Franklin Booth,art
Matt Bors,Matt Bors,art
Hieronymus Bosch,Hieronymus Bosch,art
Sam Bosma,Sam Bosma,art
Ambrosius Bosschaert,Ambrosius Bosschaert,art
Johfra Bosschart,Johfra Bosschart,art
Botero,Botero,art
Sandro Botticelli,Sandro Botticelli,art
Francois Boucher,Francois Boucher,art
Charlie Bowater,Charlie Bowater,art
David Michael Bowers,David Michael Bowers,art
Frank Bowling,Frank Bowling,art
Thomas Shotter Boys,Thomas Shotter Boys,art
Noah Bradley,Noah Bradley,art
Frank Bramley,Frank Bramley,art
George B. Bridgman,George B. Bridgman,art
Austin Briggs,Austin Briggs,art
Romero Britto,Romero Britto,art
Glen Brogan,Glen Brogan,art
Gerald Brom,Gerald Brom,art
Edward Burne-Jones,Edward Burne-Jones,art
Jim Burns,Jim Burns,art
Gaston Bussiere,Gaston Bussiere,art
Arnold Böcklin,Arnold Böcklin,art
Francis Cadell,Francis Cadell,art
Paul Cadmus,Paul Cadmus,art
Clyde Caldwell,Clyde Caldwell,art
Fred Calleri,Fred Calleri,art
Charles Camoin,Charles Camoin,art
Colin Campbell Cooper,Colin Campbell Cooper,art
Pascal Campion,Pascal Campion,art
Milton Caniff,Milton Caniff,art
Pablo Carpio,Pablo Carpio,art
Michael Carson,Michael Carson,art
Santiago Caruso,Santiago Caruso,art
Didier Cassegrain,Didier Cassegrain,art
Alfred J. Casson,Alfred J. Casson,art
Paul Catherall,Paul Catherall,art
Clint Cearley,Clint Cearley,art
Agnes Cecile,Agnes Cecile,art
Marc Chagall,Marc Chagall,art
John Chamberlain,John Chamberlain,art
Jean Siméon Chardin,Jean Siméon Chardin,art
Travis Charest,Travis Charest,art
Pierre Puvis de Chavannes,Pierre Puvis de Chavannes,art
Hsiao Ron Cheng,Hsiao Ron Cheng,art
"Yanjun Cheng, iridescent","Yanjun Cheng, iridescent",art
Ivan Chermayeff,Ivan Chermayeff,art
Michael Cheval,Michael Cheval,art
"Sandra Chevrier, paper collage","Sandra Chevrier, paper collage",art
Frank Cho,Frank Cho,art
James C. Christensen,James C. Christensen,art
Cimabue,Cimabue,art
Mikalojus Ciurlionis,Mikalojus Ciurlionis,art
Harry Clarke,Harry Clarke,art
Henry Clive,Henry Clive,art
Becky Cloonan,Becky Cloonan,art
Ron Cobb,Ron Cobb,art
Alvin Langdon Coburn,Alvin Langdon Coburn,art
Chris Cold,Chris Cold,art
Charles Conder,Charles Conder,art
George Condo,George Condo,art
John Constable,John Constable,art
Yvonne Coomber,Yvonne Coomber,art
Richard Corben,Richard Corben,art
Paul Corfield,Paul Corfield,art
Jean-Baptiste Camille Corot,Jean-Baptiste Camille Corot,art
Shawn Coss,Shawn Coss,art
Francesco del Cossa,Francesco del Cossa,art
Walter Crane,Walter Crane,art
Guido Crepax,Guido Crepax,art
Gregory Crewdson,Gregory Crewdson,art
Debbie Criswell,Debbie Criswell,art
Njideka Akunyili Crosby,Njideka Akunyili Crosby,art
Henri-Edmond Cross,Henri-Edmond Cross,art
Nicolas de Crecy,Nicolas de Crecy,art
John Currin,John Currin,art
Paul Cezanne,Paul Cezanne,art
Leonardo da Vinci,Leonardo da Vinci,art
Steven DaLuz,Steven DaLuz,art
Pino Daeni,Pino Daeni,art
Louise Dahl-Wolfe,Louise Dahl-Wolfe,art
Farel Dalrymple,Farel Dalrymple,art
Henry Darger,Henry Darger,art
Geof Darrow,Geof Darrow,art
Honoré Daumier,Honoré Daumier,art
Jacques-Louis David,Jacques-Louis David,art
Jack Davis,Jack Davis,art
Marc Davis,Marc Davis,art
Craig Davison,Craig Davison,art
Jonas De Ro,Jonas De Ro,art
Kelly Sue DeConnick,Kelly Sue DeConnick,art
Michael DeForge,Michael DeForge,art
Edwin Deakin,Edwin Deakin,art
Edgar Degas,Edgar Degas,art
Robert Delaunay,Robert Delaunay,art
"Nicolas Delort, scratchboard illustration","Nicolas Delort, scratchboard illustration",art
Jean Delville,Jean Delville,art
Wim Delvoye,Wim Delvoye,art
Maurice Denis,Maurice Denis,art
Guy Denning,Guy Denning,art
Mike Deodato,Mike Deodato,art
Charles Maurice Detmold,Charles Maurice Detmold,art
Vincent Di Fate,Vincent Di Fate,art
Diane Dillon,Diane Dillon,art
Steve Ditko,Steve Ditko,art
Anna Dittmann,Anna Dittmann,art
Gustave Dore,Gustave Dore,art
David Downton,David Downton,art
Tim Doyle,Tim Doyle,art
David C. Driskell,David C. Driskell,art
Philippe Druillet,Philippe Druillet,art
Jean Dubuffet,Jean Dubuffet,art
Raymond Duchamp-Villon,Raymond Duchamp-Villon,art
Jonny Duddle,Jonny Duddle,art
Edmund Dulac,Edmund Dulac,art
Asher Brown Durand,Asher Brown Durand,art
Chris Dyer,Chris Dyer,art
Albrecht Durer (+ engraving),Albrecht Durer (+ engraving),art
Thomas Eakins,Thomas Eakins,art
Eyvind Earle,Eyvind Earle,art
Amy Earles,Amy Earles,art
Jeff Easley,Jeff Easley,art
Tristan Eaton,Tristan Eaton,art
Tyler Edlin,Tyler Edlin,art
Jason Edmiston,Jason Edmiston,art
William Eggleston,William Eggleston,art
Bob Eggleton,Bob Eggleton,art
Will Eisner,Will Eisner,art
El Greco,El Greco,art
Dean Ellis,Dean Ellis,art
Adam Elsheimer,Adam Elsheimer,art
Peter Elson,Peter Elson,art
Gil Elvgren,Gil Elvgren,art
Ed Emshwiller,Ed Emshwiller,art
Kilian Eng,Kilian Eng,art
Delphin Enjolras,Delphin Enjolras,art
Hans Erni,Hans Erni,art
Max Ernst,Max Ernst,art
Erté,Erté,art
M.C. Escher,M.C. Escher,art
Adrianus Eversen,Adrianus Eversen,art
Glenn Fabry,Glenn Fabry,art
Anton Fadeev,Anton Fadeev,art
Shepard Fairey,Shepard Fairey,art
Andy Fairhurst,Andy Fairhurst,art
John Philip Falter,John Philip Falter,art
Fang Lijun,Fang Lijun,art
